Feature	Importance
moyenne gris	0.0015716107577975812
variance gris	0.0013056788057143245
moyenne bleu	0.0010274150466624576
variance bleu	0.0012989360476295224
moyenne vert	0.00041469292381319557
variance vert	0.0004934516051674936
moyenne rouge	0.0005514033118817112
variance rouge	0.003063891387726961
moyenne saturation	0.0022502339597586895
variance saturation	0.0039167455751163175
moyenne luminosité	0.0011553952820307343
variance luminosité	0.002097663709474156
moyenne teinte	0.0034158927562148956
variance teinte	0.0010226142989303976
Histogramme bleu 0	0.0022884955718736376
Histogramme bleu 1	0.0004990044014930629
Histogramme bleu 2	0.0017710037775330028
Histogramme bleu 3	0.0007089769240685535
Histogramme bleu 4	0.0021834926737428913
Histogramme bleu 5	0.0021936214294448505
Histogramme bleu 6	0.0006230699374175066
Histogramme bleu 7	0.0008021188710606716
Histogramme bleu 8	4.723136180982625e-05
Histogramme bleu 9	0.000513445554609345
Histogramme bleu 10	0.0002780323567454582
Histogramme bleu 11	0.00025935158093822787
Histogramme bleu 12	0.0017408977654415434
Histogramme bleu 13	0.00015240128806483602
Histogramme bleu 14	0.000496042356811143
Histogramme bleu 15	0.000887770973365415
Histogramme teinte 0	0.0003110588665434914
Histogramme teinte 1	4.786195309351444e-05
Histogramme teinte 2	0.0013515304358515906
Histogramme teinte 3	0.0004592217564931662
Histogramme teinte 4	0.0024054736705053058
Histogramme teinte 5	0.0005112874533717258
Histogramme teinte 6	0.0011231486044899102
Histogramme teinte 7	0.0007496351698210229
Histogramme teinte 8	0.0020978951581756117
Histogramme teinte 9	0.0013136959527041596
Histogramme teinte 10	0.00013484577205606467
Histogramme teinte 11	4.279234356742439
Histogramme teinte 12	0.39970626902339695
Histogramme teinte 13	0.41256809981303033
Histogramme teinte 14	0.3986758762466725
Histogramme teinte 15	1.3420682058651898
Histogramme vert 0	0.17812009559164968
Histogramme vert 1	0.9070466734747903
Histogramme vert 2	0.054012490675089106
Histogramme vert 3	1.3420682058651605
Histogramme vert 4	0.17812009559155526
Histogramme vert 5	0.9070466734748647
Histogramme vert 6	0.05401249067486784
Histogramme vert 7	0.22269667521603356
Histogramme vert 8	0.007616798935066026
Histogramme vert 9	0.007594336234456006
Histogramme vert 10	0.004838277525471434
Histogramme vert 11	0.006868194781497604
Histogramme vert 12	0.0022641509411971865
Histogramme vert 13	0.01646468740446906
Histogramme vert 14	0.0050988874763606305
Histogramme vert 15	0.0023644276467972773
Histogramme saturation 0	0.0028847746106695953
Histogramme saturation 1	0.009060816652927392
Histogramme saturation 2	0.01564564871914676
Histogramme saturation 3	0.06396125186117989
Histogramme saturation 4	0.00020177453161123599
Histogramme saturation 5	0.0016116079821372553
Histogramme saturation 6	0.005214999910526315
Histogramme saturation 7	0.05610127453646075
Histogramme saturation 8	0.011996947533413274
Histogramme saturation 9	0.23123241099118216
Histogramme saturation 10	0.0295819573796618
Histogramme saturation 11	0.052753295910265154
Histogramme saturation 12	4.654898452363405e-05
Histogramme saturation 13	0.002331126643772465
Histogramme saturation 14	0.002169304116765066
Histogramme saturation 15	0.0031873501129937526
Histogramme rouge 0	0.0010694162366375497
Histogramme rouge 1	0.039150407281281205
Histogramme rouge 2	0.006524512674289765
Histogramme rouge 3	0.006554633065132092
Histogramme rouge 4	0.0010894523923692667
Histogramme rouge 5	0.00011993877116342618
Histogramme rouge 6	3.4139358007223564e-14
Histogramme rouge 7	4.243827511629661e-14
Histogramme rouge 8	1.4932499681208355e-14
Histogramme rouge 9	4.118927421359331e-14
Histogramme rouge 10	0.0167758852634918
Histogramme rouge 11	0.0018661397558217378
Histogramme rouge 12	0.011746465314842323
Histogramme rouge 13	0.03693161609788898
Histogramme rouge 14	0.03546968127423713
Histogramme rouge 15	0.009280735947777322
Histogramme luminosité 0	0.034973979475695964
Histogramme luminosité 1	0.011526165534127438
Histogramme luminosité 2	0.004776707989428222
Histogramme luminosité 3	0.008953411958923192
Histogramme luminosité 4	0.0018417324875636804
Histogramme luminosité 5	0.006817893657839802
Histogramme luminosité 6	0.0032787551844627658
Histogramme luminosité 7	0.0059661939400883915
Histogramme luminosité 8	0.003948289269611493
Histogramme luminosité 9	0.010043641864523997
Histogramme luminosité 10	0.0017236836566342042
Histogramme luminosité 11	0.011422837693121801
Histogramme luminosité 12	0.021676167770773698
Histogramme luminosité 13	0.007301875689289873
Histogramme luminosité 14	0.005626010736457372
Histogramme luminosité 15	0.02204853471390729
