Feature	Importance
moyenne gris	0.007736431386511477
variance gris	0.012153603039427117
moyenne bleu	0.02300111965592475
variance bleu	0.021622301462296253
moyenne vert	0.03014283902296979
variance vert	0.020257925532625086
moyenne rouge	0.020984233074725144
variance rouge	0.015428796699737627
moyenne saturation	0.02196045228423476
variance saturation	0.012619410582143033
moyenne luminosité	0.013830744092300092
variance luminosité	0.010728838265223082
moyenne teinte	0.02132842501543881
variance teinte	0.002291678603945773
Histogramme bleu 0	0.00558458484974411
Histogramme bleu 1	4.146854497668771e-05
Histogramme bleu 2	0.0018447726525822779
Histogramme bleu 3	0.0020310308903675038
Histogramme bleu 4	0.013433164235548965
Histogramme bleu 5	0.02220724690345026
Histogramme bleu 6	0.008440815535612685
Histogramme bleu 7	0.007655464779749698
Histogramme bleu 8	0.0023890821168914386
Histogramme bleu 9	0.015454343954410591
Histogramme bleu 10	0.011022051560028896
Histogramme bleu 11	0.0030447284790405408
Histogramme bleu 12	0.04288347602597157
Histogramme bleu 13	0.022945544797021416
Histogramme bleu 14	0.044604314956313416
Histogramme bleu 15	0.05034232540721809
Histogramme teinte 0	0.1893682551554819
Histogramme teinte 1	0.1283771423018705
Histogramme teinte 2	0.06038820886101556
Histogramme teinte 3	0.22616265106061256
Histogramme teinte 4	0.04079149088634087
Histogramme teinte 5	0.15062164747039547
Histogramme teinte 6	0.019026975701564485
Histogramme teinte 7	0.055670223796962695
Histogramme teinte 8	0.2556916386704697
Histogramme teinte 9	0.20548917579819634
Histogramme teinte 10	0.041482039753038547
