Feature	Importance
moyenne gris	2.11212234330179
variance gris	0.00036293558326241546
moyenne bleu	0.25594493455631495
variance bleu	3.150113855754323e-05
moyenne vert	0.6079583517397474
variance vert	9.401584525958219e-05
moyenne rouge	0.3239377369191767
variance rouge	3.4233730155998864e-05
moyenne saturation	0.6079583515793222
variance saturation	9.401606699391274e-05
moyenne luminosité	0.32393773727974523
variance luminosité	3.42340798479418e-05
moyenne teinte	0.016741233076974754
variance teinte	0.15400737481341367
Histogramme bleu 0	7.498648590953394e-09
Histogramme bleu 1	0.0003932234287288283
Histogramme bleu 2	3.3850780346837694e-05
Histogramme bleu 3	4.806167029763105e-05
Histogramme bleu 4	3.792700774728902e-05
Histogramme bleu 5	0.000221762884624499
Histogramme bleu 6	9.920090147817057e-05
Histogramme bleu 7	8.911691765291219e-06
Histogramme bleu 8	0.0001548787655786671
Histogramme bleu 9	0.0001358341085740955
Histogramme bleu 10	0.00013577963908784074
Histogramme bleu 11	0.00021647432087236462
Histogramme bleu 12	0.00028746144120500583
Histogramme bleu 13	0.0006576222197110237
Histogramme bleu 14	9.946237203159458e-05
Histogramme bleu 15	0.001042083841344351
Histogramme teinte 0	0.0005448137169971334
Histogramme teinte 1	0.000120638420350698
Histogramme teinte 2	4.5024717387875945e-05
Histogramme teinte 3	1.719953058726409e-05
Histogramme teinte 4	1.5012529058007484e-05
Histogramme teinte 5	0.00014965647688178554
Histogramme teinte 6	7.870434276074922e-05
Histogramme teinte 7	4.0314786052875196e-05
Histogramme teinte 8	3.72000255791094e-05
Histogramme teinte 9	1.2049621553322787e-06
Histogramme teinte 10	6.982359391653065e-05
Histogramme teinte 11	6.045914865323958e-05
Histogramme teinte 12	0.0002903653294183536
Histogramme teinte 13	2.1750656831187598e-13
Histogramme teinte 14	7.034095528268836e-13
Histogramme teinte 15	1.0957901253050295e-13
Histogramme vert 0	4.5258241598844506e-13
Histogramme vert 1	0.0008088186995502955
Histogramme vert 2	0.00047378515032248797
Histogramme vert 3	0.0008537610658554701
Histogramme vert 4	0.0009197733143644117
Histogramme vert 5	5.847115502174288e-05
Histogramme vert 6	9.431140229894039e-05
Histogramme vert 7	6.864936902040153e-05
Histogramme vert 8	0.00030043322150485885
Histogramme vert 9	0.0002972325772323259
Histogramme vert 10	0.00029980296181839755
Histogramme vert 11	0.00027571550980709514
Histogramme vert 12	5.5046226560745426e-05
Histogramme vert 13	0.0003783139077385769
Histogramme vert 14	0.0005655481872337588
Histogramme vert 15	0.00029435040155686293
Histogramme saturation 0	0.0004783551354103563
Histogramme saturation 1	0.0001920838009785153
Histogramme saturation 2	0.00015198423467133182
Histogramme saturation 3	0.0001304127913046016
Histogramme saturation 4	1.3572660486800558e-05
Histogramme saturation 5	0.00016267053128556433
Histogramme saturation 6	2.3095603013091603e-05
Histogramme saturation 7	4.700122523923489e-05
Histogramme saturation 8	8.810058783954161e-05
Histogramme saturation 9	9.297551377092372e-05
Histogramme saturation 10	0.00012841357986551646
Histogramme saturation 11	7.84798915741125e-05
Histogramme saturation 12	0.0005674781525057612
Histogramme saturation 13	0.0004981206320529494
Histogramme saturation 14	0.0011772382170784704
Histogramme saturation 15	0.0003547779546663422
Histogramme rouge 0	0.00011319106908888599
Histogramme rouge 1	0.0002964726624648459
Histogramme rouge 2	0.00021215950224766356
Histogramme rouge 3	0.0005604945056656005
Histogramme rouge 4	0.00023415357766135014
Histogramme rouge 5	0.00043870327267866993
Histogramme rouge 6	7.465601078220085e-05
Histogramme rouge 7	0.00017933229133978643
Histogramme rouge 8	0.00018234330273768362
Histogramme rouge 9	0.00015086688352444755
Histogramme rouge 10	0.00010175067986739617
Histogramme rouge 11	9.014765158672777e-05
Histogramme rouge 12	2.1168524759862528e-05
Histogramme rouge 13	7.426048421764822e-05
Histogramme rouge 14	0.00040219909178720176
Histogramme rouge 15	0.00017960328515364676
Histogramme luminosité 0	4.1686034741434536e-05
Histogramme luminosité 1	0.0008195426267162201
Histogramme luminosité 2	0.00036117814395186104
Histogramme luminosité 3	0.00015298927648815103
Histogramme luminosité 4	0.00040771530300245246
Histogramme luminosité 5	0.0005059998948972648
Histogramme luminosité 6	0.00020803199292139616
Histogramme luminosité 7	8.472741689365126e-05
Histogramme luminosité 8	0.0001007091947122507
Histogramme luminosité 9	0.00024576314332236393
Histogramme luminosité 10	0.0002654747904064503
Histogramme luminosité 11	0.0003890789301338321
Histogramme luminosité 12	0.00046972289352169294
Histogramme luminosité 13	0.0006445891826720035
Histogramme luminosité 14	0.00010489020290999074
Histogramme luminosité 15	0.0005887246011869046
