Feature	Importance
moyenne gris	0.002886778715207042
variance gris	0.006495341251651124
moyenne bleu	0.010104255867329617
variance bleu	0.0062149967145122345
moyenne vert	0.012210662132284885
variance vert	0.014021922859767414
moyenne rouge	0.008405423455475191
variance rouge	0.0042844649429787
moyenne saturation	0.014319223888885763
variance saturation	0.006499633010339491
moyenne luminosité	0.012434352212275197
variance luminosité	0.009961623108820036
moyenne teinte	0.019882847542954288
variance teinte	0.008608866602974776
Histogramme bleu 0	0.0012212465548624523
Histogramme bleu 1	0.0028796636079688087
Histogramme bleu 2	0.03388953820103453
Histogramme bleu 3	0.02215685240519243
Histogramme bleu 4	0.03174650760788857
Histogramme bleu 5	0.016537759484260776
Histogramme bleu 6	0.00010435811920747693
Histogramme bleu 7	0.05593305214081821
Histogramme bleu 8	0.041330570140571996
Histogramme bleu 9	0.06305582139500501
Histogramme bleu 10	0.10326343933629403
Histogramme bleu 11	0.14465600314861868
Histogramme bleu 12	0.037041365314068195
Histogramme bleu 13	0.0854119396632355
Histogramme bleu 14	0.2806796912209593
Histogramme bleu 15	0.45535249617029916
Histogramme teinte 0	0.2764662382782552
Histogramme teinte 1	0.37313237605499394
Histogramme teinte 2	0.0196402398949012
Histogramme teinte 3	0.47627310549670043
Histogramme teinte 4	0.5209425226442448
Histogramme teinte 5	0.31193202999758435
Histogramme teinte 6	0.7301461145730901
Histogramme teinte 7	0.10473169091724356
Histogramme teinte 8	0.5017696772475867
Histogramme teinte 9	0.14834490300235495
Histogramme teinte 10	0.014881416615024876
