Feature	Importance
moyenne gris	0.0016608694782563862
variance gris	0.0009772139364751667
moyenne bleu	0.0015832633758149173
variance bleu	0.0018065128551215028
moyenne vert	0.0006033584774589177
variance vert	0.0006181949160188678
moyenne rouge	0.0001972203957089638
variance rouge	0.003912496809457322
moyenne saturation	0.000423728669284377
variance saturation	0.0035828045386955246
moyenne luminosité	0.00157238056070741
variance luminosité	0.0029902173666059417
moyenne teinte	0.0021289824190013264
variance teinte	0.0011677573650084087
Histogramme bleu 0	0.0025270840273412683
Histogramme bleu 1	0.0002500370687920654
Histogramme bleu 2	0.0008732358594780631
Histogramme bleu 3	0.0002709540568173632
Histogramme bleu 4	0.0018992535683116931
Histogramme bleu 5	0.002495741792520526
Histogramme bleu 6	0.0013320560955308487
Histogramme bleu 7	0.00022531386519770053
Histogramme bleu 8	0.0006303447632343149
Histogramme bleu 9	2.5074400735313027e-05
Histogramme bleu 10	0.0005665207665761921
Histogramme bleu 11	0.0008117642791001919
Histogramme bleu 12	0.0003001806519492298
Histogramme bleu 13	0.0021976409992696985
Histogramme bleu 14	0.00040910768220212007
Histogramme bleu 15	0.0003737213840442297
Histogramme teinte 0	0.0008340770489963767
Histogramme teinte 1	0.002257912885806315
Histogramme teinte 2	0.0003567469737447745
Histogramme teinte 3	0.0014877830323696828
Histogramme teinte 4	0.0006356597377736594
Histogramme teinte 5	0.00036148345232205796
Histogramme teinte 6	0.0005108103976340779
Histogramme teinte 7	8.837921718428008e-05
Histogramme teinte 8	0.00011826175104543086
Histogramme teinte 9	0.002012351447454072
Histogramme teinte 10	0.0021750317502731587
Histogramme teinte 11	4.377580229301613
Histogramme teinte 12	0.3676692596636157
Histogramme teinte 13	0.4248012451075709
Histogramme teinte 14	0.3994411078525815
Histogramme teinte 15	1.371454153930061
Histogramme vert 0	0.16600615898885415
Histogramme vert 1	0.9279865054333736
Histogramme vert 2	0.04866173500576127
Histogramme vert 3	1.371454153930272
Histogramme vert 4	0.16600615898878085
Histogramme vert 5	0.92798650543338
Histogramme vert 6	0.04866173500589883
Histogramme vert 7	0.22362203590175003
Histogramme vert 8	0.007946593974641394
Histogramme vert 9	0.007239327880048878
Histogramme vert 10	0.004132670665069706
Histogramme vert 11	0.006392811736397354
Histogramme vert 12	0.0028577189307473876
Histogramme vert 13	0.01343437307349887
Histogramme vert 14	0.009445035229329133
Histogramme vert 15	0.0019615959072486274
Histogramme saturation 0	0.0022752913365070536
Histogramme saturation 1	0.009491786163900246
Histogramme saturation 2	0.008624026309150599
Histogramme saturation 3	0.05420601378573692
Histogramme saturation 4	0.0002646519702646918
Histogramme saturation 5	0.0018118977809773026
Histogramme saturation 6	0.00520870266101099
Histogramme saturation 7	0.058446632465981356
Histogramme saturation 8	0.012464613171642653
Histogramme saturation 9	0.21817612730360217
Histogramme saturation 10	0.030024383494060215
Histogramme saturation 11	0.05433839223197328
Histogramme saturation 12	5.05589763896315e-05
Histogramme saturation 13	0.0022129359826357654
Histogramme saturation 14	0.00213515865371525
Histogramme saturation 15	0.002434093634197619
Histogramme rouge 0	0.000709643286381222
Histogramme rouge 1	0.039804732072598575
Histogramme rouge 2	0.006070233148951817
Histogramme rouge 3	0.0069456437372169815
Histogramme rouge 4	0.001025159556557321
Histogramme rouge 5	0.0005628186267186479
Histogramme rouge 6	3.59989815734707e-14
Histogramme rouge 7	3.186340080674199e-14
Histogramme rouge 8	7.244205235679146e-15
Histogramme rouge 9	3.327893516313907e-14
Histogramme rouge 10	0.01543682123956251
Histogramme rouge 11	0.0013847255821726938
Histogramme rouge 12	0.010372007337461613
Histogramme rouge 13	0.03397363495368366
Histogramme rouge 14	0.03339845408706894
Histogramme rouge 15	0.009479017453070868
Histogramme luminosité 0	0.03418240363481478
Histogramme luminosité 1	0.010943051551177104
Histogramme luminosité 2	0.004979893978619483
Histogramme luminosité 3	0.008359186066589292
Histogramme luminosité 4	0.002449962028751717
Histogramme luminosité 5	0.007223835146331901
Histogramme luminosité 6	0.002651857991155186
Histogramme luminosité 7	0.007004266352807543
Histogramme luminosité 8	0.0027869929376124402
Histogramme luminosité 9	0.011328199551760088
Histogramme luminosité 10	0.0009788744898964828
Histogramme luminosité 11	0.011475525385672779
Histogramme luminosité 12	0.02174813065163906
Histogramme luminosité 13	0.006052320783853559
Histogramme luminosité 14	0.005684388171957237
Histogramme luminosité 15	0.023498345201230997
