Feature	Importance
moyenne gris	0.007351517042211433
variance gris	0.009621385874514879
moyenne bleu	0.020192881689579306
variance bleu	0.02895095220798201
moyenne vert	0.03640614841263849
variance vert	0.018661322030973038
moyenne rouge	0.021497671621159984
variance rouge	0.0332039720627289
moyenne saturation	0.009824171466691558
variance saturation	0.009544417572263927
moyenne luminosité	0.00459625550119722
variance luminosité	0.017229580019584547
moyenne teinte	0.007916687307934406
variance teinte	0.009231624086273472
Histogramme bleu 0	0.014603815620162205
Histogramme bleu 1	0.0102574264841726
Histogramme bleu 2	0.010225964971053434
Histogramme bleu 3	0.03384514102561958
Histogramme bleu 4	0.039174255812618596
Histogramme bleu 5	0.014914001099365184
Histogramme bleu 6	0.047318411390960775
Histogramme bleu 7	0.043974841986830895
Histogramme bleu 8	0.04285070881834691
Histogramme bleu 9	0.05248867666144928
Histogramme bleu 10	0.040155916476126895
Histogramme bleu 11	0.004696223664997989
Histogramme bleu 12	0.1421821027367549
Histogramme bleu 13	0.12069112266046234
Histogramme bleu 14	0.3342905022813374
Histogramme bleu 15	0.5835187809512179
Histogramme teinte 0	0.514021550277298
Histogramme teinte 1	0.19970702766946707
Histogramme teinte 2	0.08578605784527552
Histogramme teinte 3	0.35075811187439987
Histogramme teinte 4	0.3382415441480292
Histogramme teinte 5	0.3598620476288866
Histogramme teinte 6	0.5043145168323518
Histogramme teinte 7	0.4190038875612165
Histogramme teinte 8	0.11067464469802818
Histogramme teinte 9	0.4726845240206879
Histogramme teinte 10	0.012117884781113124
