Feature	Importance
moyenne gris	4.345342287016117
variance gris	0.3607850006260525
moyenne bleu	0.4221680194448564
variance bleu	0.3042914323609772
moyenne vert	1.3511486878632195
variance vert	0.15756988457925725
moyenne rouge	0.9065280722868508
variance rouge	0.04659992071669028
moyenne saturation	1.3511486878634344
variance saturation	0.157569884579341
moyenne luminosité	0.9065280722868465
variance luminosité	0.046599920716799886
moyenne teinte	0.23959711180837773
variance teinte	0.0015430465930787035
Dynamisme	0.008900536214347388
Histogramme bleu 0	0.011140364488696486
Histogramme bleu 1	0.010498803832107356
Histogramme bleu 2	0.010462410721060134
Histogramme bleu 3	0.01418878589735098
Histogramme bleu 4	0.009074437145599946
Histogramme bleu 5	0.000888169229041072
Histogramme bleu 6	0.0029391485711726673
Histogramme bleu 7	0.004675242482648258
Histogramme bleu 8	0.07648313079604724
Histogramme bleu 9	0.07643317932149367
Histogramme bleu 10	0.001783273279471198
Histogramme bleu 11	0.0024551632537408996
Histogramme bleu 12	0.004295544302290649
Histogramme bleu 13	0.037574066585300284
Histogramme bleu 14	0.020204003573392373
Histogramme bleu 15	0.08287274151353086
Histogramme teinte 0	0.01897936290252683
Histogramme teinte 1	0.047654518323759665
Histogramme teinte 2	0.00020727098400569188
Histogramme teinte 3	0.0014725931207411613
Histogramme teinte 4	0.0032174471369098567
Histogramme teinte 5	0.00242590358627167
Histogramme teinte 6	0.0006570197889725557
Histogramme teinte 7	0.03575933561880218
Histogramme teinte 8	0.00027168366233078223
Histogramme teinte 9	0.0036096881409808934
Histogramme teinte 10	0.001619848708081545
Histogramme teinte 11	0.0027892528860010597
Histogramme teinte 12	4.996003610813204e-16
Histogramme teinte 13	6.661338147750939e-16
Histogramme teinte 14	8.604228440844963e-16
Histogramme teinte 15	1.0824674490095276e-15
Histogramme vert 0	0.008133902963152945
Histogramme vert 1	0.02276804792590842
Histogramme vert 2	0.01698092275461205
Histogramme vert 3	0.01089504333572204
Histogramme vert 4	0.013373042050322831
Histogramme vert 5	0.014634931942507645
Histogramme vert 6	0.06345547034127169
Histogramme vert 7	0.010779893553729047
Histogramme vert 8	0.019608824683423856
Histogramme vert 9	0.00832523493079388
Histogramme vert 10	0.005506188864590977
Histogramme vert 11	0.009480495800986144
Histogramme vert 12	0.005562314303441562
Histogramme vert 13	0.018828236405717708
Histogramme vert 14	0.004416210679185684
Histogramme vert 15	0.02394836400660765
Histogramme saturation 0	0.006449052237122943
Histogramme saturation 1	0.007069718183551371
Histogramme saturation 2	0.014610665460680516
Histogramme saturation 3	0.008237803548901149
Histogramme saturation 4	0.01635678348134297
Histogramme saturation 5	0.001866519393630365
Histogramme saturation 6	0.000909172250591922
Histogramme saturation 7	0.0035469867970202157
Histogramme saturation 8	0.010911836418942306
Histogramme saturation 9	0.008566746436652617
Histogramme saturation 10	0.011585673046543218
Histogramme saturation 11	0.009219657011547325
Histogramme saturation 12	0.0003783325631659118
Histogramme saturation 13	0.008624365521071861
Histogramme saturation 14	0.0025549215934868516
Histogramme saturation 15	0.0033778465351505527
Histogramme rouge 0	0.004493159219654819
Histogramme rouge 1	0.04057338300361682
Histogramme rouge 2	0.011326628560707042
Histogramme rouge 3	0.014381523293470783
Histogramme rouge 4	0.002375020278910723
Histogramme rouge 5	0.022437891118590986
Histogramme rouge 6	0.010515363384971485
Histogramme rouge 7	0.023516289535869768
Histogramme rouge 8	0.018630867061125954
Histogramme rouge 9	0.008534193964936987
Histogramme rouge 10	0.014532586327850504
Histogramme rouge 11	0.034451440121525095
Histogramme rouge 12	0.0036055372900335864
Histogramme rouge 13	0.012317786073878137
Histogramme rouge 14	0.011858796799270842
Histogramme rouge 15	0.00022780538109615223
Histogramme luminosité 0	0.0025482247900004418
Histogramme luminosité 1	0.01402066392371254
Histogramme luminosité 2	0.0018430793584494065
Histogramme luminosité 3	0.011466459015534919
Histogramme luminosité 4	0.0016641055112199404
Histogramme luminosité 5	0.01477939082702515
Histogramme luminosité 6	0.0016318974495179994
Histogramme luminosité 7	0.012133907613217212
Histogramme luminosité 8	0.07283847280456097
Histogramme luminosité 9	0.09531549858058445
Histogramme luminosité 10	0.012157067700038118
Histogramme luminosité 11	0.021475050225295104
Histogramme luminosité 12	0.021683439917589108
Histogramme luminosité 13	0.028835602421249593
Histogramme luminosité 14	0.016856265820498206
Histogramme luminosité 15	0.12894746964483683
