Feature	N	A	V	AV
mfcc0	0.23428244459666542	2.467762174629447	2.6167250231490864	0.4952361682810645
mfcc1	0.17182490800767275	2.2665993575610073	2.0493551227775346	0.4075541079946095
mfcc2	0.4437523370511095	3.242964482134484	3.7378025271339332	0.17056037639353613
mfcc3	0.029705558364025796	2.7621654559892503	1.1839462493230066	0.484605406688176
mfcc4	0.3558018735087357	0.7499716934264293	2.1283944801007166	0.7244088125355805
mfcc5	0.1477029043594825	1.2700654290911497	1.3467843823906862	0.01952466495038217
mfcc6	0.41996430249396466	1.3919585255160387	2.528920399852294	0.958721739357434
mfcc7	0.3845039606552219	1.4999763375074302	0.6258895636266456	2.2220472768366273
mfcc8	0.22357771384818248	1.6843341259840228	0.02400486432397744	1.5005573208106264
mfcc9	0.39062515863445907	2.188599467780176	0.12577087857100638	2.705469979269534
mfcc10	0.17511901439017352	0.35277957559010614	0.5213717631873404	0.9820938165441239
mfcc11	0.23715260006842634	0.6997647823244828	0.2939989261255599	1.5356211349596702
mfcc12	0.3256850997668415	2.279368664817623	0.023634008463338605	2.2984833089503747
mfcc'0	0.06716130920110201	0.2910398587362372	0.10395165632268641	0.7782625353824584
mfcc'1	0.19977614846961733	1.810244267889224	0.16237047655428977	1.4862504480515213
mfcc'2	0.0411187122531911	0.028478655539865293	0.014311941613447022	0.36702474912095934
mfcc'3	0.14253770647855749	0.7104471028199894	0.13372647831225717	1.2236349224457204
mfcc'4	0.05360028131835644	0.6136526334265009	0.10877266789277314	0.4455521335602638
mfcc'5	0.20384484776871153	1.3107814012905523	0.02825357748027853	1.4829923789726462
mfcc'6	0.1778659040940568	1.5251029019828084	0.22195292662914565	1.4369750442874858
mfcc'7	0.06100047279800216	0.5172649722128629	0.00427195870823864	0.40827076892330705
mfcc'8	0.06312031014417255	0.3658947699906578	0.07421399015703482	0.5472901109651821
mfcc'9	0.012733597241975566	0.0858925070787288	0.09908524451770838	0.029000846187422283
mfcc'10	0.04006365203985212	0.21709792140877512	0.04797048749540861	0.3521062969221533
mfcc'11	0.02188111790629808	0.4335701286058017	0.05649419608193312	0.15167635742269675
mfcc'12	0.030744518424613437	0.5141143291834387	0.0025649984804451426	0.13828128376187881
mfcc''0	0.057360040354470634	1.5526652587422896	0.7479018262430618	1.0136900613288036
mfcc''1	0.030405603159009153	0.24533218893762654	0.0863385754189009	0.10070652381067545
mfcc''2	0.09301777856365577	0.18950666863480306	0.3039945428844737	0.39730502745240526
mfcc''3	0.08222358164881938	0.26943729657271487	0.010748642057819715	0.6349677132790221
mfcc''4	0.09734578459060345	0.16290260249433422	0.46911786025105934	0.323312325743482
mfcc''5	0.005860402051641387	0.1171008278138027	0.05222249133207286	0.040198741112020854
mfcc''6	0.1449499940546718	0.8685205356242716	0.09717831694758215	0.9297315932419775
mfcc''7	0.005249520869141575	0.7545258046659479	0.2952729253203785	0.21469107991250097
mfcc''8	0.1714701121966117	1.6128606886646646	0.38859273319747106	1.559424254286309
mfcc''9	0.0509259323360085	0.48122324157528845	0.0036267672022031704	0.3288621229104538
mfcc''10	0.06813425728801012	0.5804690553886223	0.2406098127402322	0.7375183822367369
mfcc''11	0.051240472863930964	0.5687557377956559	0.14181962434448805	0.4755676707097104
mfcc''12	0.18900504163835005	1.5940066421462404	0.10464794707397254	1.3764840222773005
ZCR	0.13123604138664216	0.28865473222773286	0.08828564516658974	0.9628683907256131
Spectral contrats	0.1326794648925085	0.9387929812064008	1.0194557457723126	0.16087242346729747
moyenne gris	368.65052019169246	2845.3683920832486	280.9437169969106	2841.0835802407905
variance gris	31.695724190777252	223.72385374207713	39.5836852084178	267.8333844858334
moyenne bleu	36.093310613308425	270.32348892461255	23.15023355865017	274.96417127132855
variance bleu	32.28614727961771	275.80948567158265	40.45629709150884	261.29005676512463
moyenne vert	115.52186057834142	891.2427536277835	88.60997391785894	891.0745510831674
variance vert	14.050791571241925	102.6317129354057	18.40665651722195	118.91602286000412
moyenne rouge	77.7980570727149	606.3399590635104	62.072225015242566	601.465155467131
