Feature	Importance
moyenne gris	0.10827503473632226
variance gris	0.08691950496854783
moyenne bleu	0.16386821293140957
variance bleu	0.05735621328649093
moyenne vert	0.09352691226326693
variance vert	0.0587319676933296
moyenne rouge	0.11593699502103205
variance rouge	0.04092766532095772
moyenne saturation	0.00808030819120635
variance saturation	0.023655551995244443
moyenne luminosité	0.034384825385965684
variance luminosité	0.025538915297577385
moyenne teinte	0.012272528540178636
variance teinte	0.008148447796825938
Histogramme bleu 0	8.970590788042864e-05
Histogramme bleu 1	0.003952692768697802
Histogramme bleu 2	0.005614040130353791
Histogramme bleu 3	0.0027066007300622055
Histogramme bleu 4	0.008571935377313888
Histogramme bleu 5	0.0007234135329307379
Histogramme bleu 6	0.0013785832305194944
Histogramme bleu 7	0.0016346887271343519
Histogramme bleu 8	0.0026948141406794753
Histogramme bleu 9	0.0011734622123210723
Histogramme bleu 10	0.0032398343846859814
Histogramme bleu 11	0.0017924705886041285
Histogramme bleu 12	0.025832652042371205
Histogramme bleu 13	0.0027450989050913713
Histogramme bleu 14	0.015002119775894648
Histogramme bleu 15	0.00659103039694227
Histogramme teinte 0	0.022686480062856472
Histogramme teinte 1	0.000591799339103318
Histogramme teinte 2	0.009303485152574573
Histogramme teinte 3	0.013572977901248702
Histogramme teinte 4	0.005964853442830055
Histogramme teinte 5	0.0006447773507940787
Histogramme teinte 6	0.003633452191826516
Histogramme teinte 7	0.003230182278366236
Histogramme teinte 8	0.0023659003426493
Histogramme teinte 9	0.01351699831205316
Histogramme teinte 10	0.04653957067111908
Histogramme teinte 11	5.633851060013306
Histogramme teinte 12	0.36153437973500246
Histogramme teinte 13	0.7310270988922468
Histogramme teinte 14	0.12447494232663253
Histogramme teinte 15	1.756985325971835
Histogramme vert 0	0.1062160548676212
Histogramme vert 1	1.0682267219068924
Histogramme vert 2	0.043474255031425796
Histogramme vert 3	1.7569853259717947
Histogramme vert 4	0.10621605486750471
Histogramme vert 5	1.0682267219069772
Histogramme vert 6	0.04347425503113429
Histogramme vert 7	0.03941861747521275
Histogramme vert 8	0.024343474445719278
Histogramme vert 9	0.013123029666164993
Histogramme vert 10	0.11327130702296365
Histogramme vert 11	0.10751644386359421
Histogramme vert 12	0.1261358516786042
Histogramme vert 13	0.05809685270138831
Histogramme vert 14	0.38902447718870564
Histogramme vert 15	0.1104202218415327
Histogramme saturation 0	0.03668689866659698
Histogramme saturation 1	0.07947723035814114
Histogramme saturation 2	0.12377023999460819
Histogramme saturation 3	0.11857147977127123
Histogramme saturation 4	0.004868610947629651
Histogramme saturation 5	0.0032686605186643507
Histogramme saturation 6	0.012156499731049875
Histogramme saturation 7	0.08750016340228078
Histogramme saturation 8	0.09798293445291069
Histogramme saturation 9	0.6019961623729375
Histogramme saturation 10	0.10382708244311536
Histogramme saturation 11	0.2196196534999404
Histogramme saturation 12	0.001848870983279685
Histogramme saturation 13	0.004732558484652569
Histogramme saturation 14	0.005474781995274635
Histogramme saturation 15	0.1053854145751147
Histogramme rouge 0	0.030881529344100527
Histogramme rouge 1	0.11832696732299672
Histogramme rouge 2	0.01689503000739069
Histogramme rouge 3	0.004665615924713963
Histogramme rouge 4	0.0031309603648297935
Histogramme rouge 5	0.0005493196692462586
Histogramme rouge 6	4.2577052994374753e-14
Histogramme rouge 7	5.96189764223709e-14
Histogramme rouge 8	1.7041923427996153e-14
Histogramme rouge 9	5.473399511402022e-14
Histogramme rouge 10	0.15329758962907192
Histogramme rouge 11	0.14586540117767985
Histogramme rouge 12	0.25268927771894467
Histogramme rouge 13	0.41003883738867963
Histogramme rouge 14	0.10874385966587463
Histogramme rouge 15	0.01772507263225388
Histogramme luminosité 0	0.11116719793288705
Histogramme luminosité 1	0.011028417404565415
Histogramme luminosité 2	0.12030531704111498
Histogramme luminosité 3	0.03834595119747596
Histogramme luminosité 4	0.0013708425086202125
Histogramme luminosité 5	0.034635491334311985
Histogramme luminosité 6	0.00677336761233838
Histogramme luminosité 7	0.09606470808759704
Histogramme luminosité 8	0.01572797841414681
Histogramme luminosité 9	0.15720193809430782
Histogramme luminosité 10	0.04721297507362672
Histogramme luminosité 11	0.0756470116089196
Histogramme luminosité 12	0.02966402785744857
Histogramme luminosité 13	0.01790687167637691
Histogramme luminosité 14	0.028654174867660788
Histogramme luminosité 15	0.17430985222622547
