Feature	Importance
moyenne gris	0.0030067217762037124
variance gris	0.006915546303653198
moyenne bleu	0.010235633536013563
variance bleu	0.004415223859360076
moyenne vert	0.011260399712278213
variance vert	0.013748876255111276
moyenne rouge	0.00947276381912555
variance rouge	0.001640255114435333
moyenne saturation	0.01631834568685865
variance saturation	0.007541661393279513
moyenne luminosité	0.010211195406643916
variance luminosité	0.008461449064952284
moyenne teinte	0.02108999642865287
variance teinte	3.512082395241891e-06
Histogramme bleu 0	0.0010410393441294828
Histogramme bleu 1	0.0035057204385417436
Histogramme bleu 2	0.0006521842016855078
Histogramme bleu 3	0.008917876113314417
Histogramme bleu 4	0.0100155750489921
Histogramme bleu 5	0.027216044895465013
Histogramme bleu 6	0.007970681721992454
Histogramme bleu 7	0.007482322513382476
Histogramme bleu 8	0.0034454401436379706
Histogramme bleu 9	0.023794391473765813
Histogramme bleu 10	0.041123235463237484
Histogramme bleu 11	0.021424767848025578
Histogramme bleu 12	0.02129793311539711
Histogramme bleu 13	0.014153774667534895
Histogramme bleu 14	0.0017274249566569672
Histogramme bleu 15	0.06200116991647772
Histogramme teinte 0	0.14454352169946905
Histogramme teinte 1	0.09047583345366436
Histogramme teinte 2	0.0028079625895765874
Histogramme teinte 3	0.08816927322472158
Histogramme teinte 4	0.04462920787714151
Histogramme teinte 5	0.29145961974836215
Histogramme teinte 6	0.17421758524215597
Histogramme teinte 7	0.19631587916531607
Histogramme teinte 8	0.4982666304506833
Histogramme teinte 9	0.3266986473936505
Histogramme teinte 10	0.02550272068486288
